Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,ResponsesQuantised
6011641,WillingnesstoTryagainLikert,Neutral,3009.mp4,NAHA,1001,NALA6,NALA6_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,1005.mp4,NAHA,1004,NAHA4,NAHA4_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,3000.mp4,NAHA,1005,NALA1,NALA1_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,3008.mp4,NAHA,1006,NALA5,NALA5_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,3007.mp4,NAHA,1008,NALA4,NALA4_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,1004.mp4,NALA,3000,NAHA3,NAHA3_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,1001.mp4,NALA,3002,NAHA2,NAHA2_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,1006.mp4,NALA,3004,NAHA5,NAHA5_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,3002.mp4,NALA,3007,NALA2,NALA2_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,1008.mp4,NALA,3008,NAHA6,NAHA6_WillingnesstoTryagainLikert,4
6011641,WillingnesstoTryagainLikert,Neutral,1000.mp4,NALA,3009,NAHA1,NAHA1_WillingnesstoTryagainLikert,4
6011744,WillingnesstoTryagainLikert,Somewhat unlikely,3000.mp4,NAHA,1000,NALA1,NALA1_WillingnesstoTryagainLikert,3
6011744,WillingnesstoTryagainLikert,Neutral,1004.mp4,NAHA,1001,NAHA3,NAHA3_WillingnesstoTryagainLikert,4
6011744,WillingnesstoTryagainLikert,Neutral,3009.mp4,NAHA,1004,NALA6,NALA6_WillingnesstoTryagainLikert,4
6011744,WillingnesstoTryagainLikert,Very Unlikely,1006.mp4,NAHA,1005,NAHA5,NAHA5_WillingnesstoTryagainLikert,1
6011744,WillingnesstoTryagainLikert,Very Unlikely,3008.mp4,NAHA,1006,NALA5,NALA5_WillingnesstoTryagainLikert,1
6011744,WillingnesstoTryagainLikert,Somewhat unlikely,3002.mp4,NAHA,1008,NALA2,NALA2_WillingnesstoTryagainLikert,3
6011744,WillingnesstoTryagainLikert,Somewhat unlikely,1000.mp4,NALA,3000,NAHA1,NAHA1_WillingnesstoTryagainLikert,3
6011744,WillingnesstoTryagainLikert,Very Unlikely,3004.mp4,NALA,3002,NALA3,NALA3_WillingnesstoTryagainLikert,1
6011744,WillingnesstoTryagainLikert,Somewhat unlikely,3007.mp4,NALA,3004,NALA4,NALA4_WillingnesstoTryagainLikert,3
6011744,WillingnesstoTryagainLikert,Somewhat unlikely,1005.mp4,NALA,3007,NAHA4,NAHA4_WillingnesstoTryagainLikert,3
6011744,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NALA,3008,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6011744,WillingnesstoTryagainLikert,Somewhat unlikely,1008.mp4,NALA,3009,NAHA6,NAHA6_WillingnesstoTryagainLikert,3
6012195,WillingnesstoTryagainLikert,Somewhat unlikely,3000.mp4,NAHA,1000,NALA1,NALA1_WillingnesstoTryagainLikert,3
6012195,WillingnesstoTryagainLikert,Somewhat unlikely,3008.mp4,NAHA,1001,NALA5,NALA5_WillingnesstoTryagainLikert,3
6012195,WillingnesstoTryagainLikert,Not at all likely,1006.mp4,NAHA,1004,NAHA5,NAHA5_WillingnesstoTryagainLikert,0
6012195,WillingnesstoTryagainLikert,Neutral,3007.mp4,NAHA,1005,NALA4,NALA4_WillingnesstoTryagainLikert,4
6012195,WillingnesstoTryagainLikert,Unlikely,3004.mp4,NAHA,1006,NALA3,NALA3_WillingnesstoTryagainLikert,2
6012195,WillingnesstoTryagainLikert,Not at all likely,1001.mp4,NAHA,1008,NAHA2,NAHA2_WillingnesstoTryagainLikert,0
